DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--BW-Indicator-ID-001,htc clients hiv  tested,TO-REPLACE--BW-Disag-ID-001,Total
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-002,_lt1yrF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-003,1-4yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-004,5-9yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-005,10-14yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-006,_lt1yrM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-007,1-4yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-008,5-9yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-009,10-14yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,DY0yrJtBeSC,Positive | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-010,15-19yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-011,20-24yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-012,25-29yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-013,30-34yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-014,35-39yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-015,40-44yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-016,45-49yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-017,50-54yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-018,55-59yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-019,gt60F
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-020,15-19yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-021,20-24yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-022,25-29yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-023,30-34yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-024,35-39yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-025,40-44yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-026,45-49yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-027,50-54yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-028,55-59yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-029,gt60M
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,a2dDU6KZyd0,Positive | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,U6ErjBQYGSG,Positive | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,SCD7EVreQUA,Positive | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,EyJRtSgSChq,Positive | AgeUnknown | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-002,_lt1yrF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-003,1-4yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-004,5-9yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-005,10-14yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-006,_lt1yrM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-007,1-4yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-008,5-9yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-009,10-14yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,PrIxM0pIjFl,Negative | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-002,htc clients tested hiv+,TO-REPLACE--BW-Disag-ID-013,30-34yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-010,15-19yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-011,20-24yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-014,35-39yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-015,40-44yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-016,45-49yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-017,50-54yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-018,55-59yrsF
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-019,gt60F
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-020,15-19yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-021,20-24yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-023,30-34yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-024,35-39yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-025,40-44yrsM
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,TO-REPLACE--BW-Indicator-ID-003,htc clients tested hiv-,TO-REPLACE--BW-Disag-ID-026,45-49yrsM
