DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_Name,DATIM_Disag_ID,Operation,MOH_Indicator_Name,MOH_Indicator_ID,MOH_Disag_Name,MOH_Disag_ID
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"0-11 mois, Feminin",HQWtIkUYJnX
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"1-4 ans, Feminin",SULdDcCMhFZ
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"5-9 ans , Feminin",QTQthvWluSq
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"10-14 ans, Feminin",O3iQ4ZrdfMu
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"15 - 24 ans , Feminin",qFM8SzeRUzs
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"25-49 ans , Feminin",dOs57l5veXk
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"50 ans et plus, Feminin",jnjGnaXRYFY
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"0-11 mois, Masculin",HfKG4nY4GxP
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"1-4 ans, Masculin",nmvcJXCOkbZ
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"5-9 ans , Masculin",LhM3JYaC4sw
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"10-14 ans, Masculin",COIMYUgXS10
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"15 - 24 ans , Masculin",XQcnS0da9M6
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"25-49 ans , Masculin",Hhvh6cEoyBW
HTS_TST,HTS_TST_N_MOH,Total,HTS_TST_N_MOH,ADD,Nombre de clients conseilles et depistes pour le VIH ayant recu le resultat du test_2015,IXB6r4yuaNs,"50 ans et plus, Masculin",Sh5mbUDWl1v
HTS_TST,HTS_TST_N_MOH_Age_Agg_Sex_Result,Positive | AgeUnknown | Female,TBD,ADD,,,,
HTS_TST,HTS_TST_N_MOH_Age_Agg_Sex_Result,Positive | AgeUnknown | Male,TBD,ADD,,,,
HTS_TST,HTS_TST_N_MOH_Age_Agg_Sex_Result,Negative | AgeUnknown | Female,TBD,ADD,,,,
