DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--HT-Indicator-ID-001,NOMBRE DE PERSONNES VIH(+) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-001,Positive | <15 | Male
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--HT-Indicator-ID-001,NOMBRE DE PERSONNES VIH(+) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-002,Positive | 15+ | Male
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--HT-Indicator-ID-001,NOMBRE DE PERSONNES VIH(+) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-003,Positive | <15 | Female
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--HT-Indicator-ID-001,NOMBRE DE PERSONNES VIH(+) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-004,Positive | 15+ | Female
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--HT-Indicator-ID-002,NOMBRE DE PERSONNES VIH(-) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-005,Negative | <15 | Male
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--HT-Indicator-ID-002,NOMBRE DE PERSONNES VIH(-) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-006,Negative | 15+ | Male
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--HT-Indicator-ID-002,NOMBRE DE PERSONNES VIH(-) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-007,Negative | <15 | Female
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--HT-Indicator-ID-002,NOMBRE DE PERSONNES VIH(-) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-008,Negative | 15+ | Female
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,SUBTRACT,TO-REPLACE--HT-Indicator-ID-003,# de femmes enceintes VIH (+) conseillées en Post-test à la clinique prénatale,TO-REPLACE--HT-Disag-ID-009,Total
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--HT-Indicator-ID-004,Nombre de femmes enceintes VIH (-) conseillées en Post-test à la clinique prénatale,TO-REPLACE--HT-Disag-ID-009,Total
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,TO-REPLACE--HT-Indicator-ID-001,NOMBRE DE PERSONNES VIH(+) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-003,Positive | <15 | Female
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,TO-REPLACE--HT-Indicator-ID-001,NOMBRE DE PERSONNES VIH(+) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-001,Positive | <15 | Male
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,DY0yrJtBeSC,Positive | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--HT-Indicator-ID-001,NOMBRE DE PERSONNES VIH(+) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-004,Positive | 15+ | Female
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--HT-Indicator-ID-001,NOMBRE DE PERSONNES VIH(+) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-002,Positive | 15+ | Male
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,a2dDU6KZyd0,Positive | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,U6ErjBQYGSG,Positive | AgeUnknown | Female,ADD,TO-REPLACE--HT-Indicator-ID-003,# de femmes enceintes VIH (+) conseillées en Post-test à la clinique prénatale,TO-REPLACE--HT-Disag-ID-009,Total
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,SCD7EVreQUA,Positive | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,EyJRtSgSChq,Positive | AgeUnknown | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,ADD,TO-REPLACE--HT-Indicator-ID-002,NOMBRE DE PERSONNES VIH(-) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-007,Negative | <15 | Female
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,ADD,TO-REPLACE--HT-Indicator-ID-002,NOMBRE DE PERSONNES VIH(-) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-005,Negative | <15 | Male
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,PrIxM0pIjFl,Negative | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--HT-Indicator-ID-002,NOMBRE DE PERSONNES VIH(-) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-008,Negative | 15+ | Female
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,TO-REPLACE--HT-Indicator-ID-002,NOMBRE DE PERSONNES VIH(-) CONSEILLÉES EN POST-TEST,TO-REPLACE--HT-Disag-ID-006,Negative | 15+ | Male
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,qL3AXhLXfHf,Negative | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,K21p4HUGqOS,Negative | AgeUnknown | Female,ADD,TO-REPLACE--HT-Indicator-ID-004,Nombre de femmes enceintes VIH (-) conseillées en Post-test à la clinique prénatale,TO-REPLACE--HT-Disag-ID-009,Total
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,iGj3YxYXGRF,Negative | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mV483q7SboN,Negative | AgeUnknown | SexUnknown,,,,,
PMTCT_ART,PMTCT_ART_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--HT-Indicator-ID-005,Total femmes enceintes VIH(+)  sous HAART,TO-REPLACE--HT-Disag-ID-009,Total
PMTCT_STAT,PMTCT_STAT_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--HT-Indicator-ID-006,TOTAL FE AVEC STATUT VIH CONNU,TO-REPLACE--HT-Disag-ID-009,Total
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,g2AcKVKFFTR,KnownPositives,ADD,TO-REPLACE--HT-Indicator-ID-007,Nombre de femmes VIH(+) déjà sous ARV devenues enceintes (sous-ensemble de 17) ou référées enceintes par un autre site,TO-REPLACE--HT-Disag-ID-009,Total
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,skZHj1KgCFs,NewlyTestedPositives,ADD,TO-REPLACE--HT-Indicator-ID-003,# de femmes enceintes VIH (+) conseillées en Post-test à la clinique prénatale,TO-REPLACE--HT-Disag-ID-009,Total
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,FwRU6E2C5kt,NewNegatives,ADD,TO-REPLACE--HT-Indicator-ID-004,Nombre de femmes enceintes VIH (-) conseillées en Post-test à la clinique prénatale,TO-REPLACE--HT-Disag-ID-009,Total
TX_CURR,TX_CURR_N_MOH_Age_Sex,BGFCDhyk4M8,<15 | Female,ADD,TO-REPLACE--HT-Indicator-ID-008,Patients VIH(+) ACTIFS sous ARV,TO-REPLACE--HT-Disag-ID-010,<15 | Female
TX_CURR,TX_CURR_N_MOH_Age_Sex,SBUMYkq3pEs,<15 | Male,ADD,TO-REPLACE--HT-Indicator-ID-008,Patients VIH(+) ACTIFS sous ARV,TO-REPLACE--HT-Disag-ID-011,<15 | Male
TX_CURR,TX_CURR_N_MOH_Age_Sex,DOE1p3gdXIr,<15 | SexUnknown,,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,er95aeLbIHg,15+ | Female,ADD,TO-REPLACE--HT-Indicator-ID-008,Patients VIH(+) ACTIFS sous ARV,TO-REPLACE--HT-Disag-ID-012,15+ | Female
TX_CURR,TX_CURR_N_MOH_Age_Sex,RFKoE51NKAq,15+ | Male,ADD,TO-REPLACE--HT-Indicator-ID-008,Patients VIH(+) ACTIFS sous ARV,TO-REPLACE--HT-Disag-ID-013,15+ | Male
TX_CURR,TX_CURR_N_MOH_Age_Sex,EnFWVKd0OVk,15+ | SexUnknown,,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,Na0IrYFjVsM,AgeUnknown | Female,ADD,TO-REPLACE--HT-Indicator-ID-009,Patients VIH(+) ACTIFS sous ARV- Femmes enceintes  - Femmes allaitantes,TO-REPLACE--HT-Disag-ID-014,AgeUnknown | Female
TX_CURR,TX_CURR_N_MOH_Age_Sex,iQArB1Jys2K,AgeUnknown | Male,,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,sZtIQvBYLEV,AgeUnknown | SexUnknown,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,BGFCDhyk4M8,<15 | Female,ADD,TO-REPLACE--HT-Indicator-ID-010,Soins ARV - NOUVEAUX enrolés pour le mois,TO-REPLACE--HT-Disag-ID-010,<15 | Female
TX_NEW,TX_NEW_N_MOH_Age_Sex,SBUMYkq3pEs,<15 | Male,ADD,TO-REPLACE--HT-Indicator-ID-010,Soins ARV - NOUVEAUX enrolés pour le mois,TO-REPLACE--HT-Disag-ID-011,<15 | Male
TX_NEW,TX_NEW_N_MOH_Age_Sex,DOE1p3gdXIr,<15 | SexUnknown,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,er95aeLbIHg,15+ | Female,ADD,TO-REPLACE--HT-Indicator-ID-010,Soins ARV - NOUVEAUX enrolés pour le mois,TO-REPLACE--HT-Disag-ID-012,15+ | Female
TX_NEW,TX_NEW_N_MOH_Age_Sex,RFKoE51NKAq,15+ | Male,ADD,TO-REPLACE--HT-Indicator-ID-010,Soins ARV - NOUVEAUX enrolés pour le mois,TO-REPLACE--HT-Disag-ID-013,15+ | Male
TX_NEW,TX_NEW_N_MOH_Age_Sex,EnFWVKd0OVk,15+ | SexUnknown,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,Na0IrYFjVsM,AgeUnknown | Female,ADD,TO-REPLACE--HT-Indicator-ID-011,Soins ARV - Femmes enceintes  - Femmes allaitantes,TO-REPLACE--HT-Disag-ID-014,AgeUnknown | Female
TX_NEW,TX_NEW_N_MOH_Age_Sex,iQArB1Jys2K,AgeUnknown | Male,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,sZtIQvBYLEV,AgeUnknown | SexUnknown,,,,,
