DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
TX_CURR,TX_CURR_N_MOH_Age_Sex,RFKoE51NKAq,"15+, Male",ADD,INDART-70,TO-REPLACE--LS-Indicator-Name-009,M,TO-REPLACE--LS-Disag-Name-003
TX_CURR,TX_CURR_N_MOH_Age_Sex,DOE1p3gdXIr,"<15, Unknown Sex",,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,BGFCDhyk4M8,"<15, Female",ADD,INDART-69,TO-REPLACE--LS-Indicator-Name-008,F,TO-REPLACE--LS-Disag-Name-002
TX_CURR,TX_CURR_N_MOH_Age_Sex,Na0IrYFjVsM,"Unknown Age, Female",,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,sZtIQvBYLEV,"Unknown Age, Unknown Sex",,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,er95aeLbIHg,"15+, Female",ADD,INDART-70,TO-REPLACE--LS-Indicator-Name-009,F,TO-REPLACE--LS-Disag-Name-002
TX_CURR,TX_CURR_N_MOH_Age_Sex,EnFWVKd0OVk,"15+, Unknown Sex",,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,SBUMYkq3pEs,"<15, Male",ADD,INDART-69,TO-REPLACE--LS-Indicator-Name-008,M,TO-REPLACE--LS-Disag-Name-003
TX_CURR,TX_CURR_N_MOH_Age_Sex,iQArB1Jys2K,"Unknown Age, Male",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,DY0yrJtBeSC,"<15, Unknown Sex, Positive",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,U6ErjBQYGSG,"Unknown Age, Female, Positive",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,qL3AXhLXfHf,"15+, Unknown Sex, Negative",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,"15+, Male, Positive",ADD,INDHTC-110b,TO-REPLACE--LS-Indicator-Name-003,M,TO-REPLACE--LS-Disag-Name-003
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,iGj3YxYXGRF,"Unknown Age, Male, Negative",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,PrIxM0pIjFl,"<15, Unknown Sex, Negative",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,K21p4HUGqOS,"Unknown Age, Female, Negative",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,a2dDU6KZyd0,"15+, Unknown Sex, Positive",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,SCD7EVreQUA,"Unknown Age, Male, Positive",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,"15+, Female, Negative",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,"15+, Female, Positive",ADD,INDHTC-110b,TO-REPLACE--LS-Indicator-Name-003,F,TO-REPLACE--LS-Disag-Name-002
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,"<15, Female, Positive",ADD,INDHTC-108b,TO-REPLACE--LS-Indicator-Name-002,F,TO-REPLACE--LS-Disag-Name-002
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mV483q7SboN,"Unknown Age, Unknown Sex, Negative",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,"<15, Male, Negative",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,"15+, Male, Negative",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,EyJRtSgSChq,"Unknown Age, Unknown Sex, Positive",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,"<15, Female, Negative",,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,"<15, Male, Positive",ADD,INDHTC-108b,TO-REPLACE--LS-Indicator-Name-002,M,TO-REPLACE--LS-Disag-Name-003
PMTCT_STAT,PMTCT_STAT_N_MOH,HllvX50cXC0,default,ADD,INDANC-02a,TO-REPLACE--LS-Indicator-Name-005,null_disag,Null Disaggregate
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,skZHj1KgCFs,Newly Identified Positive,ADD,INDANC-03a,TO-REPLACE--LS-Indicator-Name-007,null_disag,Null Disaggregate
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,FwRU6E2C5kt,Newly Identified Negative,,,,,
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,g2AcKVKFFTR,Known at Entry Positive,ADD,ANC-15_2,TO-REPLACE--LS-Indicator-Name-006,null_disag,Null Disaggregate
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,default,ADD,INDHTC-01,TO-REPLACE--LS-Indicator-Name-001,null_disag,Null Disaggregate
PMTCT_ART,PMTCT_ART_N_MOH,HllvX50cXC0,default,ADD,INDANC-04a,TO-REPLACE--LS-Indicator-Name-004,null_disag,Null Disaggregate
TX_RET,TX_RET_N_MOH_Age_Sex,BGFCDhyk4M8,"<15, Female",,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,er95aeLbIHg,"15+, Female",,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,iQArB1Jys2K,"Unknown Age, Male",,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,DOE1p3gdXIr,"<15, Unknown Sex",,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,RFKoE51NKAq,"15+, Male",,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,sZtIQvBYLEV,"Unknown Age, Unknown Sex",,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,Na0IrYFjVsM,"Unknown Age, Female",,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,EnFWVKd0OVk,"15+, Unknown Sex",,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,SBUMYkq3pEs,"<15, Male",,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,Na0IrYFjVsM,"Unknown Age, Female",,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,iQArB1Jys2K,"Unknown Age, Male",,,,,
