DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,INDHTC-01,TO-REPLACE--LS-Indicator-Name-001,null-disag,Null Disaggregate
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,INDHTC-108b,TO-REPLACE--LS-Indicator-Name-002,F,TO-REPLACE--LS-Disag-Name-002
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,INDHTC-108b,TO-REPLACE--LS-Indicator-Name-002,M,TO-REPLACE--LS-Disag-Name-003
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,DY0yrJtBeSC,Positive | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,INDHTC-110b,TO-REPLACE--LS-Indicator-Name-003,F,TO-REPLACE--LS-Disag-Name-002
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,INDHTC-110b,TO-REPLACE--LS-Indicator-Name-003,M,TO-REPLACE--LS-Disag-Name-003
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,a2dDU6KZyd0,Positive | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,U6ErjBQYGSG,Positive | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,SCD7EVreQUA,Positive | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,EyJRtSgSChq,Positive | AgeUnknown | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,PrIxM0pIjFl,Negative | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,qL3AXhLXfHf,Negative | 15+ | SexUnknown,,,,,
