DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,HTS_Total,TO-REPLACE--MW-Indicator-Name-001,TO-REPLACE--MW-Disag-ID-001,New negative
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,HTS_Total,TO-REPLACE--MW-Indicator-Name-001,TO-REPLACE--MW-Disag-ID-002,New positive
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,DY0yrJtBeSC,Positive | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,a2dDU6KZyd0,Positive | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,U6ErjBQYGSG,Positive | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,SCD7EVreQUA,Positive | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,EyJRtSgSChq,Positive | AgeUnknown | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,PrIxM0pIjFl,Negative | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,qL3AXhLXfHf,Negative | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,K21p4HUGqOS,Negative | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,iGj3YxYXGRF,Negative | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mV483q7SboN,Negative | AgeUnknown | SexUnknown,,,,,
PMTCT_ART,PMTCT_ART_N_MOH,HllvX50cXC0,Total,ADD,PMTCT_ART_Total,TO-REPLACE--MW-Indicator-Name-002,TO-REPLACE--MW-Disag-ID-003,Already on ART when starting ANC
PMTCT_ART,PMTCT_ART_N_MOH,HllvX50cXC0,Total,ADD,PMTCT_ART_Total,TO-REPLACE--MW-Indicator-Name-002,TO-REPLACE--MW-Disag-ID-004,Started ART at 0-27 weeks of pregnancy
PMTCT_ART,PMTCT_ART_N_MOH,HllvX50cXC0,Total,ADD,PMTCT_ART_Total,TO-REPLACE--MW-Indicator-Name-002,TO-REPLACE--MW-Disag-ID-005,Started ART at 28+ weeks of pregnancy
PMTCT_STAT,PMTCT_STAT_N_MOH,HllvX50cXC0,Total,ADD,PMTCT_STAT_Total,TO-REPLACE--MW-Indicator-Name-003,TO-REPLACE--MW-Disag-ID-006,Previous negative
PMTCT_STAT,PMTCT_STAT_N_MOH,HllvX50cXC0,Total,ADD,PMTCT_STAT_Total,TO-REPLACE--MW-Indicator-Name-003,TO-REPLACE--MW-Disag-ID-007,Previous positive
PMTCT_STAT,PMTCT_STAT_N_MOH,HllvX50cXC0,Total,ADD,PMTCT_STAT_Total,TO-REPLACE--MW-Indicator-Name-003,TO-REPLACE--MW-Disag-ID-001,New negative
PMTCT_STAT,PMTCT_STAT_N_MOH,HllvX50cXC0,Total,ADD,PMTCT_STAT_Total,TO-REPLACE--MW-Indicator-Name-003,TO-REPLACE--MW-Disag-ID-002,New positive
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,g2AcKVKFFTR,KnownPositives,ADD,PMTCT_STAT_Total,TO-REPLACE--MW-Indicator-Name-003,TO-REPLACE--MW-Disag-ID-007,Previous positive
