DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,pTaQP788yC5,TO-REPLACE--RW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,wAFGRtEl7nG,TO-REPLACE--RW-Disag-Name-002
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,E0nAWhLK79J,TO-REPLACE--RW-Disag-Name-003
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,qYfVd65iuXH,TO-REPLACE--RW-Disag-Name-004
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,y9MfNsyI3bn,TO-REPLACE--RW-Disag-Name-005
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,csWfMXz428O,TO-REPLACE--RW-Disag-Name-006
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,emYiBfc3x3U,TO-REPLACE--RW-Disag-Name-007
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,IQT7IKHRS6X,TO-REPLACE--RW-Disag-Name-008
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,SR2WfweFAxD,TO-REPLACE--RW-Disag-Name-009
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,gG5yK8C3z30,TO-REPLACE--RW-Disag-Name-010
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,haZi3seXYSS,TO-REPLACE--RW-Disag-Name-011
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,ZXYikTd6CZB,TO-REPLACE--RW-Disag-Name-012
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,WAM7HGR0x63,TO-REPLACE--RW-Disag-Name-013
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,PCZGMJ5EvGH,TO-REPLACE--RW-Disag-Name-014
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,szMmZqHINQ0,TO-REPLACE--RW-Disag-Name-015
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,sAhiX6AxLG6,TO-REPLACE--RW-Indicator-Name-001,CxkHxXIjLcH,TO-REPLACE--RW-Disag-Name-016
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,qXt0bu6PmEw,TO-REPLACE--RW-Indicator-Name-002,pTaQP788yC5,TO-REPLACE--RW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,qXt0bu6PmEw,TO-REPLACE--RW-Indicator-Name-002,wAFGRtEl7nG,TO-REPLACE--RW-Disag-Name-002
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,qXt0bu6PmEw,TO-REPLACE--RW-Indicator-Name-002,E0nAWhLK79J,TO-REPLACE--RW-Disag-Name-003
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,qXt0bu6PmEw,TO-REPLACE--RW-Indicator-Name-002,qYfVd65iuXH,TO-REPLACE--RW-Disag-Name-004
