DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_Name,DATIM_Disag_ID,Operation,MOH_Indicator_Name,MOH_Indicator_ID,MOH_Disag_Name,MOH_Disag_ID
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"< 1 years, Female",pTaQP788yC5
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"1-4 years, Female",wAFGRtEl7nG
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"5-9 years, Female",E0nAWhLK79J
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"10-14 years, Female",qYfVd65iuXH
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"15-19 years, Female",y9MfNsyI3bn
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"20-24 years, Female",csWfMXz428O
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"25-30 years, Female",EmyjkFC3X3u
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"31 years and above, Female",emYJcGD4Y4v
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"< 1 years, Male",SR2WfweFAxD
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"1-4 years, Male",gG5yK8C3z30
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"5-9 years, Male",haZi3seXYSS
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"10-14 years, Male",ZXYikTd6CZB
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"15-19 years, Male",WAM7HGR0x63
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"20-24 years, Male",PCZGMJ5EvGH
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"25-30 years, Male",yz6mZ2HiNq9
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,Clients counseled and tested for HIV through HTC,sAhiX6AxLG6,"31 years and above, Male",zaNnAyIINQ0
HTS_TST,HTS_TST_N_MOH_Age_Agg_Sex_Result,Positive | AgeUnknown | Female,U6ErjBQYGSG,ADD,,,,
HTS_TST,HTS_TST_N_MOH_Age_Agg_Sex_Result,Positive | AgeUnknown | Male,SCD7EVreQUA,ADD,,,,
HTS_TST,HTS_TST_N_MOH_Age_Agg_Sex_Result,Negative | AgeUnknown | Female,K21p4HUGqOS,ADD,,,,
