DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--SZ-Indicator-ID-001,HTS_TST,TO-REPLACE--SZ-Disag-ID-001,Total
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,TO-REPLACE--SZ-Indicator-ID-001,HTS_TST,TO-REPLACE--SZ-Disag-ID-002,Positive|<15|Female
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,TO-REPLACE--SZ-Indicator-ID-001,HTS_TST,TO-REPLACE--SZ-Disag-ID-003,Positive|<15|Male
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,DY0yrJtBeSC,Positive | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--SZ-Indicator-ID-001,HTS_TST,TO-REPLACE--SZ-Disag-ID-004,Positive|15+|Female
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--SZ-Indicator-ID-001,HTS_TST,TO-REPLACE--SZ-Disag-ID-005,Positive|15+|Male
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,a2dDU6KZyd0,Positive | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,U6ErjBQYGSG,Positive | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,SCD7EVreQUA,Positive | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,EyJRtSgSChq,Positive | AgeUnknown | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,PrIxM0pIjFl,Negative | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,qL3AXhLXfHf,Negative | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,K21p4HUGqOS,Negative | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,iGj3YxYXGRF,Negative | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mV483q7SboN,Negative | AgeUnknown | SexUnknown,ADD,TO-REPLACE--SZ-Indicator-ID-002,HTS_TST_NEG,TO-REPLACE--SZ-Disag-ID-006,Negative
PMTCT_ART,PMTCT_ART_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--SZ-Indicator-ID-003,PMTCT_ART,TO-REPLACE--SZ-Disag-ID-001,Total
PMTCT_STAT,PMTCT_STAT_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--SZ-Indicator-ID-004,PMTCT_STAT,TO-REPLACE--SZ-Disag-ID-001,Total
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,g2AcKVKFFTR,KnownPositives,ADD,TO-REPLACE--SZ-Indicator-ID-005,Known HIV+ Pregnant Women,TO-REPLACE--SZ-Disag-ID-007,KnownPositives
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,skZHj1KgCFs,NewlyTestedPositives,ADD,TO-REPLACE--SZ-Indicator-ID-006,Newly identified positives,TO-REPLACE--SZ-Disag-ID-008,NewlyTestedPositives
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,FwRU6E2C5kt,NewNegatives,ADD,TO-REPLACE--SZ-Indicator-ID-007,HIV - pregnant women,TO-REPLACE--SZ-Disag-ID-009,NewNegatives
TX_CURR,TX_CURR_N_MOH_Age_Sex,BGFCDhyk4M8,<15 | Female,ADD,TO-REPLACE--SZ-Indicator-ID-008,TX_CURR,TO-REPLACE--SZ-Disag-ID-010,<15 | Female
TX_CURR,TX_CURR_N_MOH_Age_Sex,SBUMYkq3pEs,<15 | Male,ADD,TO-REPLACE--SZ-Indicator-ID-008,TX_CURR,TO-REPLACE--SZ-Disag-ID-011,<15 | Male
TX_CURR,TX_CURR_N_MOH_Age_Sex,DOE1p3gdXIr,<15 | SexUnknown,,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,er95aeLbIHg,15+ | Female,ADD,TO-REPLACE--SZ-Indicator-ID-008,TX_CURR,TO-REPLACE--SZ-Disag-ID-012,15+ | Female
TX_CURR,TX_CURR_N_MOH_Age_Sex,RFKoE51NKAq,15+ | Male,ADD,TO-REPLACE--SZ-Indicator-ID-008,TX_CURR,TO-REPLACE--SZ-Disag-ID-013,15+ | Male
TX_CURR,TX_CURR_N_MOH_Age_Sex,EnFWVKd0OVk,15+ | SexUnknown,,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,Na0IrYFjVsM,AgeUnknown | Female,,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,iQArB1Jys2K,AgeUnknown | Male,,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,sZtIQvBYLEV,AgeUnknown | SexUnknown,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,BGFCDhyk4M8,<15 | Female,ADD,TO-REPLACE--SZ-Indicator-ID-009,TX_NEW,TO-REPLACE--SZ-Disag-ID-010,<15 | Female
TX_NEW,TX_NEW_N_MOH_Age_Sex,SBUMYkq3pEs,<15 | Male,ADD,TO-REPLACE--SZ-Indicator-ID-009,TX_NEW,TO-REPLACE--SZ-Disag-ID-011,<15 | Male
TX_NEW,TX_NEW_N_MOH_Age_Sex,DOE1p3gdXIr,<15 | SexUnknown,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,er95aeLbIHg,15+ | Female,ADD,TO-REPLACE--SZ-Indicator-ID-009,TX_NEW,TO-REPLACE--SZ-Disag-ID-012,15+ | Female
TX_NEW,TX_NEW_N_MOH_Age_Sex,RFKoE51NKAq,15+ | Male,ADD,TO-REPLACE--SZ-Indicator-ID-009,TX_NEW,TO-REPLACE--SZ-Disag-ID-013,15+ | Male
TX_NEW,TX_NEW_N_MOH_Age_Sex,EnFWVKd0OVk,15+ | SexUnknown,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,Na0IrYFjVsM,AgeUnknown | Female,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,iQArB1Jys2K,AgeUnknown | Male,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,sZtIQvBYLEV,AgeUnknown | SexUnknown,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,BGFCDhyk4M8,<15 | Female,ADD,TO-REPLACE--SZ-Indicator-ID-010,TX_RET,TO-REPLACE--SZ-Disag-ID-010,<15 | Female
TX_RET,TX_RET_N_MOH_Age_Sex,SBUMYkq3pEs,<15 | Male,ADD,TO-REPLACE--SZ-Indicator-ID-010,TX_RET,TO-REPLACE--SZ-Disag-ID-011,<15 | Male
TX_RET,TX_RET_N_MOH_Age_Sex,DOE1p3gdXIr,<15 | SexUnknown,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,er95aeLbIHg,15+ | Female,ADD,TO-REPLACE--SZ-Indicator-ID-010,TX_RET,TO-REPLACE--SZ-Disag-ID-012,15+ | Female
TX_RET,TX_RET_N_MOH_Age_Sex,RFKoE51NKAq,15+ | Male,ADD,TO-REPLACE--SZ-Indicator-ID-010,TX_RET,TO-REPLACE--SZ-Disag-ID-013,15+ | Male
TX_RET,TX_RET_N_MOH_Age_Sex,EnFWVKd0OVk,15+ | SexUnknown,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,Na0IrYFjVsM,AgeUnknown | Female,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,iQArB1Jys2K,AgeUnknown | Male,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,sZtIQvBYLEV,AgeUnknown | SexUnknown,,,,,
