DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,HTS_TST,TO-REPLACE--TZ-Indicator-Name-001,default,TO-REPLACE--TZ-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,HTS_TST_POS_U15_F,TO-REPLACE--TZ-Indicator-Name-002,default,TO-REPLACE--TZ-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,HTS_TST_POS_U15_M,TO-REPLACE--TZ-Indicator-Name-003,default,TO-REPLACE--TZ-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,DY0yrJtBeSC,Positive | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,HTS_TST_POS_A15_F,TO-REPLACE--TZ-Indicator-Name-004,default,TO-REPLACE--TZ-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,HTS_TST_POS_A15_M,TO-REPLACE--TZ-Indicator-Name-005,default,TO-REPLACE--TZ-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,a2dDU6KZyd0,Positive | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,U6ErjBQYGSG,Positive | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,SCD7EVreQUA,Positive | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,EyJRtSgSChq,Positive | AgeUnknown | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,ADD,HTS_TST_NEG_U15_F,TO-REPLACE--TZ-Indicator-Name-006,default,TO-REPLACE--TZ-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,ADD,HTS_TST_NEG_U15_M,TO-REPLACE--TZ-Indicator-Name-007,default,TO-REPLACE--TZ-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,PrIxM0pIjFl,Negative | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,HTS_TST_NEG_A15_F,TO-REPLACE--TZ-Indicator-Name-008,default,TO-REPLACE--TZ-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,HTS_TST_NEG_A15_M,TO-REPLACE--TZ-Indicator-Name-009,default,TO-REPLACE--TZ-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,qL3AXhLXfHf,Negative | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,K21p4HUGqOS,Negative | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,iGj3YxYXGRF,Negative | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mV483q7SboN,Negative | AgeUnknown | SexUnknown,,,,,
PMTCT_ART,PMTCT_ART_N_MOH,HllvX50cXC0,Total,ADD,PMTCT_ART,TO-REPLACE--TZ-Indicator-Name-010,default,TO-REPLACE--TZ-Disag-Name-001
PMTCT_STAT,PMTCT_STAT_N_MOH,HllvX50cXC0,Total,ADD,PMTCT_STAT,TO-REPLACE--TZ-Indicator-Name-011,default,TO-REPLACE--TZ-Disag-Name-001
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,g2AcKVKFFTR,KnownPositives,ADD,PMTCT_STAT_KNPOS,TO-REPLACE--TZ-Indicator-Name-012,default,TO-REPLACE--TZ-Disag-Name-001
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,skZHj1KgCFs,NewlyTestedPositives,ADD,PMTCT_STAT_NEW_POS,TO-REPLACE--TZ-Indicator-Name-013,default,TO-REPLACE--TZ-Disag-Name-001
PMTCT_STAT,PMTCT_STAT_N_MOH_KnownPosNeg,FwRU6E2C5kt,NewNegatives,ADD,PMTCT_STAT_NEW_NEG,TO-REPLACE--TZ-Indicator-Name-014,default,TO-REPLACE--TZ-Disag-Name-001
TX_CURR,TX_CURR_N_MOH_Age_Sex,BGFCDhyk4M8,<15 | Female,ADD,TX_CURR_U15_F,TO-REPLACE--TZ-Indicator-Name-015,default,TO-REPLACE--TZ-Disag-Name-001
TX_CURR,TX_CURR_N_MOH_Age_Sex,SBUMYkq3pEs,<15 | Male,ADD,TX_CURR_U15_M,TO-REPLACE--TZ-Indicator-Name-016,default,TO-REPLACE--TZ-Disag-Name-001
TX_CURR,TX_CURR_N_MOH_Age_Sex,DOE1p3gdXIr,<15 | SexUnknown,,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,er95aeLbIHg,15+ | Female,ADD,TX_CURR_A15_F,TO-REPLACE--TZ-Indicator-Name-017,default,TO-REPLACE--TZ-Disag-Name-001
TX_CURR,TX_CURR_N_MOH_Age_Sex,RFKoE51NKAq,15+ | Male,ADD,TX_CURR_A15_M,TO-REPLACE--TZ-Indicator-Name-018,default,TO-REPLACE--TZ-Disag-Name-001
TX_CURR,TX_CURR_N_MOH_Age_Sex,EnFWVKd0OVk,15+ | SexUnknown,,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,Na0IrYFjVsM,AgeUnknown | Female,,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,iQArB1Jys2K,AgeUnknown | Male,,,,,
TX_CURR,TX_CURR_N_MOH_Age_Sex,sZtIQvBYLEV,AgeUnknown | SexUnknown,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,BGFCDhyk4M8,<15 | Female,ADD,TX_NEW_U15_F,TO-REPLACE--TZ-Indicator-Name-019,default,TO-REPLACE--TZ-Disag-Name-001
TX_NEW,TX_NEW_N_MOH_Age_Sex,SBUMYkq3pEs,<15 | Male,ADD,TX_NEW_U15_M,TO-REPLACE--TZ-Indicator-Name-020,default,TO-REPLACE--TZ-Disag-Name-001
TX_NEW,TX_NEW_N_MOH_Age_Sex,DOE1p3gdXIr,<15 | SexUnknown,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,er95aeLbIHg,15+ | Female,ADD,TX_NEW_A15_F,TO-REPLACE--TZ-Indicator-Name-021,default,TO-REPLACE--TZ-Disag-Name-001
TX_NEW,TX_NEW_N_MOH_Age_Sex,RFKoE51NKAq,15+ | Male,ADD,TX_NEW_A15_M,TO-REPLACE--TZ-Indicator-Name-022,default,TO-REPLACE--TZ-Disag-Name-001
TX_NEW,TX_NEW_N_MOH_Age_Sex,EnFWVKd0OVk,15+ | SexUnknown,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,Na0IrYFjVsM,AgeUnknown | Female,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,iQArB1Jys2K,AgeUnknown | Male,,,,,
TX_NEW,TX_NEW_N_MOH_Age_Sex,sZtIQvBYLEV,AgeUnknown | SexUnknown,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,BGFCDhyk4M8,<15 | Female,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,SBUMYkq3pEs,<15 | Male,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,DOE1p3gdXIr,<15 | SexUnknown,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,er95aeLbIHg,15+ | Female,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,RFKoE51NKAq,15+ | Male,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,EnFWVKd0OVk,15+ | SexUnknown,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,Na0IrYFjVsM,AgeUnknown | Female,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,iQArB1Jys2K,AgeUnknown | Male,,,,,
TX_RET,TX_RET_N_MOH_Age_Sex,sZtIQvBYLEV,AgeUnknown | SexUnknown,,,,,
