DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_Name,DATIM_Disag_ID,Operation,MOH_Indicator_Name,MOH_Indicator_ID,MOH_Disag_Name,MOH_Disag_ID
HTS_TST,HTS_TST_N_MOH,Total,HllvX50cXC0,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | <1 | Female,pCFCaOLScdv,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / <1 / Female,Pos_F_0-1
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 1-4 | Female,xzoIG0AwsNB,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 1-4 / Female,Pos_F_1-4
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 5-9 | Female,UggtNScQMVl,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 5-9 / Female,Pos_F_5-9
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 10-14 | Female,hXgqQX95TVa,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 10-14 / Female,Pos_F_10-14
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 15-19 | Female,wJCVvM7o6xm,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 15-19 / Female,Pos_F_15-19
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 20-24 | Female,tvOcOPhIdRH,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 20-24 / Female,Pos_F_20-24
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 25-29 | Female,BLWV93S2HJ0,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 25-29 / Female,Pos_F_25-29
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 30-34 | Female,bxqrio2gHOj,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 30-34 / Female,Pos_F_30-34
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 35-39 | Female,MuaoVfC9rYL,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 35-39 / Female,Pos_F_35-39
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 40-45 | Female,d3rKRkxJP1v,ADD,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 45-49 | Female,ERDcFrmlT0J,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 45-49 / Female,Pos_F_45-49
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 50+ | Female,GlfLlD3wSQj,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 50+ / Female,Pos_F_50
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | <1 | Male,cXdSJvbabBT,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / <1 / Male,Pos_M_0-1
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 1-4 | Male,tBoWuTd0ERY,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 1-4 / Male,Pos_M_1-4
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 5-9 | Male,wLMOUM9mfTV,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 5-9 / Male,Pos_M_5-9
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 10-14 | Male,KRoQaA91sv5,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 10-14 / Male,Pos_M_10-14
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 15-19 | Male,wpck6pSRDer,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 15-19 / Male,Pos_M_15-19
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 20-24 | Male,BitB2nKfWBK,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 20-24 / Male,Pos_M_20-24
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,Positive | 25-29 | Male,NRZfd73Ypo8,ADD,"Number of individuals who received HIV Testing Services (HTS) and received their test results, disaggregated by HIV result",HTS_TST,Positive / 25-29 / Male,Pos_M_25-29
