DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,RqkJEei9vim,TO-REPLACE--UG-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,SLfSJuKsM2Z,TO-REPLACE--UG-Disag-Name-002
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,AN0Qs7RXFkx,TO-REPLACE--UG-Disag-Name-003
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,qYvFbD7ztAS,TO-REPLACE--UG-Disag-Name-004
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,ndMTI6mtzfN,TO-REPLACE--UG-Disag-Name-005
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,JEPCYXzeLJx,TO-REPLACE--UG-Disag-Name-006
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,FxddLQz4F39,TO-REPLACE--UG-Disag-Name-007
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,Rnv7p8EfB4K,TO-REPLACE--UG-Disag-Name-008
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,X82MYR8T3RU,TO-REPLACE--UG-Disag-Name-009
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,gUV6NZQ45xV,TO-REPLACE--UG-Disag-Name-010
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,GtIS5kSJgwK,TO-REPLACE--UG-Disag-Name-011
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hQ7Yj8xn38F,TO-REPLACE--UG-Indicator-Name-001,YJUukJQIINT,TO-REPLACE--UG-Disag-Name-012
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,mCVvMl1sIua,TO-REPLACE--UG-Indicator-Name-002,hByJhwG8pWe,TO-REPLACE--UG-Disag-Name-013
