DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,bxJzaRypgNK.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-001,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,UzB69aQDKmr.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-002,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,Ann5jwwJeYc.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-003,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,Wzrf1Vny7JQ.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-004,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,ZUUkhyI8Lmu,TO-REPLACE--ZM-Indicator-Name-005,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,Ty1J41bCA1U,TO-REPLACE--ZM-Indicator-Name-006,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,FyCjN0gIVV7,TO-REPLACE--ZM-Indicator-Name-007,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,scCvxtDyQvm,TO-REPLACE--ZM-Indicator-Name-008,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,rjqH3IqQgui.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-009,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,gyLuBAClqOW,TO-REPLACE--ZM-Indicator-Name-010,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,s7sZYQBZWZy,TO-REPLACE--ZM-Indicator-Name-011,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,ALwmc8Ilkuq,TO-REPLACE--ZM-Indicator-Name-012,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,v942MWIyNR8,TO-REPLACE--ZM-Indicator-Name-013,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,t9jUpRwa9A2,TO-REPLACE--ZM-Indicator-Name-014,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,CsWt7IRfGbK,TO-REPLACE--ZM-Indicator-Name-015,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,UkXqYaLseSz,TO-REPLACE--ZM-Indicator-Name-016,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,DEGWau9jkIj,TO-REPLACE--ZM-Indicator-Name-017,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,nQ0Zud74q9z.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-018,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,QQuuFKvMrW6,TO-REPLACE--ZM-Indicator-Name-019,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,diyQCFWhBYz,TO-REPLACE--ZM-Indicator-Name-020,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,ngB6mwB2Lcz.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-021,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,DY0yrJtBeSC,Positive | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,DVbGbKvNj5i.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-022,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,CzPeDLDaF4I.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-023,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,a2dDU6KZyd0,Positive | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,U6ErjBQYGSG,Positive | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,SCD7EVreQUA,Positive | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,EyJRtSgSChq,Positive | AgeUnknown | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,ADD,UzB69aQDKmr.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-002,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,SUBTRACT,diyQCFWhBYz,TO-REPLACE--ZM-Indicator-Name-020,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,ADD,bxJzaRypgNK.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-001,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,SUBTRACT,ngB6mwB2Lcz.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-021,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,PrIxM0pIjFl,Negative | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,Wzrf1Vny7JQ.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-004,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,SUBTRACT,DVbGbKvNj5i.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-022,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,Ann5jwwJeYc.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-003,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,SUBTRACT,CzPeDLDaF4I.USfPOPAeN16,TO-REPLACE--ZM-Indicator-Name-023,default,TO-REPLACE--ZM-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,qL3AXhLXfHf,Negative | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,K21p4HUGqOS,Negative | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,iGj3YxYXGRF,Negative | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mV483q7SboN,Negative | AgeUnknown | SexUnknown,,,,,
PMTCT_ART,PMTCT_ART_N_MOH,HllvX50cXC0,Total,ADD,PvoH9BJFv0T,TO-REPLACE--ZM-Indicator-Name-024,default,TO-REPLACE--ZM-Disag-Name-001
