DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,hm6hgH1n8CW,TO-REPLACE--ZW-Indicator-Name-001,default,TO-REPLACE--ZW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,L86JQSq6EB1,TO-REPLACE--ZW-Indicator-Name-002,default,TO-REPLACE--ZW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,DVtsJMYaX23,TO-REPLACE--ZW-Indicator-Name-003,default,TO-REPLACE--ZW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,oytgMyNYnWA,TO-REPLACE--ZW-Indicator-Name-004,default,TO-REPLACE--ZW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,JHOztbw9w6F,TO-REPLACE--ZW-Indicator-Name-005,default,TO-REPLACE--ZW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,LQ4SxW5PKMD,TO-REPLACE--ZW-Indicator-Name-006,default,TO-REPLACE--ZW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,DY0yrJtBeSC,Positive | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,kqVkqwvzRoY,TO-REPLACE--ZW-Indicator-Name-007,default,TO-REPLACE--ZW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,D2MMzf8gAYA,TO-REPLACE--ZW-Indicator-Name-008,default,TO-REPLACE--ZW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,a2dDU6KZyd0,Positive | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,U6ErjBQYGSG,Positive | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,SCD7EVreQUA,Positive | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,EyJRtSgSChq,Positive | AgeUnknown | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,ADD,hm6hgH1n8CW,TO-REPLACE--ZW-Indicator-Name-001,default,TO-REPLACE--ZW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,ADD,L86JQSq6EB1,TO-REPLACE--ZW-Indicator-Name-002,default,TO-REPLACE--ZW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,PrIxM0pIjFl,Negative | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,DVtsJMYaX23,TO-REPLACE--ZW-Indicator-Name-003,default,TO-REPLACE--ZW-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,oytgMyNYnWA,TO-REPLACE--ZW-Indicator-Name-004,default,TO-REPLACE--ZW-Disag-Name-001
