DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--KE-Indicator-ID-001,HV01-01,TO-REPLACE--KE-Disag-ID-001,First Test
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,TO-REPLACE--KE-Indicator-ID-002,HV01-02,TO-REPLACE--KE-Disag-ID-002,Repeat Test
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,TO-REPLACE--KE-Indicator-ID-003,HV01-11,TO-REPLACE--KE-Disag-ID-003,Positive| Females - Below 15 year
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,TO-REPLACE--KE-Indicator-ID-004,HV01-10,TO-REPLACE--KE-Disag-ID-004,Positive| Males - Below 15 year
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,DY0yrJtBeSC,Positive | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--KE-Indicator-ID-005,HV01-13,TO-REPLACE--KE-Disag-ID-005,Positive|Female 15-24 years
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,TO-REPLACE--KE-Indicator-ID-006,HV01-15,TO-REPLACE--KE-Disag-ID-006,Positive|Females 25 years & older
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--KE-Indicator-ID-007,HV01-12,TO-REPLACE--KE-Disag-ID-007,Positive|Males 15-24 years
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,TO-REPLACE--KE-Indicator-ID-008,HV01-14,TO-REPLACE--KE-Disag-ID-008,Positive|Males 25 years & older
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,a2dDU6KZyd0,Positive | 15+ | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,U6ErjBQYGSG,Positive | AgeUnknown | Female,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,SCD7EVreQUA,Positive | AgeUnknown | Male,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,EyJRtSgSChq,Positive | AgeUnknown | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,ADD,TO-REPLACE--KE-Indicator-ID-001,HV01-01,TO-REPLACE--KE-Disag-ID-001,First Test
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,ADD,TO-REPLACE--KE-Indicator-ID-002,HV01-02,TO-REPLACE--KE-Disag-ID-002,Repeat Test
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,FSmIqIsgheB,Negative | <15 | Female,SUBTRACT,TO-REPLACE--KE-Indicator-ID-003,HV01-11,TO-REPLACE--KE-Disag-ID-003,Positive| Females - Below 15 year
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,ADD,TO-REPLACE--KE-Indicator-ID-001,HV01-01,TO-REPLACE--KE-Disag-ID-001,First Test
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,ADD,TO-REPLACE--KE-Indicator-ID-002,HV01-02,TO-REPLACE--KE-Disag-ID-002,Repeat Test
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,LhAJq3vYXyi,Negative | <15 | Male,SUBTRACT,TO-REPLACE--KE-Indicator-ID-004,HV01-10,TO-REPLACE--KE-Disag-ID-004,Positive| Males - Below 15 year
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,PrIxM0pIjFl,Negative | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--KE-Indicator-ID-001,HV01-01,TO-REPLACE--KE-Disag-ID-001,First Test
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,ADD,TO-REPLACE--KE-Indicator-ID-002,HV01-02,TO-REPLACE--KE-Disag-ID-002,Repeat Test
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,SUBTRACT,TO-REPLACE--KE-Indicator-ID-005,HV01-13,TO-REPLACE--KE-Disag-ID-009,Positive| Female 15-24 years
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,ymXkr5eCjR5,Negative | 15+ | Female,SUBTRACT,TO-REPLACE--KE-Indicator-ID-006,HV01-15,TO-REPLACE--KE-Disag-ID-010,Positive|Female 25 years & older
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,TO-REPLACE--KE-Indicator-ID-001,HV01-01,TO-REPLACE--KE-Disag-ID-001,First Test
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,mlFWWrUMuV7,Negative | 15+ | Male,ADD,TO-REPLACE--KE-Indicator-ID-002,HV01-02,TO-REPLACE--KE-Disag-ID-002,Repeat Test
