dataset,dataelement,shortname,code,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid,classification
MER Results: MOH Facility Based FY22,"HTS_TST (N, MOH, Age Agg/Sex/Result): HTS received results","HTS_TST (N, MOH, Age Agg/Sex/Result)",HTS_TST_N_MOH_Age_Agg_Sex_Result,BRalYZhcHpi,Number of individuals who received HTS services and received their test results during the MOH reporting period.,"<15, Female, Negative",FSmIqIsgheB,FSmIqIsgheB,coarse
MER Results: MOH Facility Based FY22,"HTS_TST (N, MOH, Age Agg/Sex/Result): HTS received results","HTS_TST (N, MOH, Age Agg/Sex/Result)",HTS_TST_N_MOH_Age_Agg_Sex_Result,BRalYZhcHpi,Number of individuals who received HTS services and received their test results during the MOH reporting period.,"15+, Female, Negative",ymXkr5eCjR5,ymXkr5eCjR5,coarse
MER Results: MOH Facility Based FY22,"HTS_TST (N, MOH, Age Agg/Sex/Result): HTS received results","HTS_TST (N, MOH, Age Agg/Sex/Result)",HTS_TST_N_MOH_Age_Agg_Sex_Result,BRalYZhcHpi,Number of individuals who received HTS services and received their test results during the MOH reporting period.,"<15, Female, Positive",HrQbkVgBM1X,HrQbkVgBM1X,coarse
MER Results: MOH Facility Based FY22,"HTS_TST (N, MOH, Age Agg/Sex/Result): HTS received results","HTS_TST (N, MOH, Age Agg/Sex/Result)",HTS_TST_N_MOH_Age_Agg_Sex_Result,BRalYZhcHpi,Number of individuals who received HTS services and received their test results during the MOH reporting period.,"15+, Female, Positive",WXV5qLgw7kE,WXV5qLgw7kE,coarse
MER Results: MOH Facility Based FY22,"HTS_TST (N, MOH, Age Agg/Sex/Result): HTS received results","HTS_TST (N, MOH, Age Agg/Sex/Result)",HTS_TST_N_MOH_Age_Agg_Sex_Result,BRalYZhcHpi,Number of individuals who received HTS services and received their test results during the MOH reporting period.,"<15, Male, Negative",LhAJq3vYXyi,LhAJq3vYXyi,coarse
MER Results: MOH Facility Based FY22,"HTS_TST (N, MOH, Age Agg/Sex/Result): HTS received results","HTS_TST (N, MOH, Age Agg/Sex/Result)",HTS_TST_N_MOH_Age_Agg_Sex_Result,BRalYZhcHpi,Number of individuals who received HTS services and received their test results during the MOH reporting period.,"15+, Male, Negative",mlFWWrUMuV7,mlFWWrUMuV7,coarse
MER Results: MOH Facility Based FY22,"HTS_TST (N, MOH, Age Agg/Sex/Result): HTS received results","HTS_TST (N, MOH, Age Agg/Sex/Result)",HTS_TST_N_MOH_Age_Agg_Sex_Result,BRalYZhcHpi,Number of individuals who received HTS services and received their test results during the MOH reporting period.,"<15, Male, Positive",R4WXCEzPZcY,R4WXCEzPZcY,coarse
MER Results: MOH Facility Based FY22,"HTS_TST (N, MOH, Age Agg/Sex/Result): HTS received results","HTS_TST (N, MOH, Age Agg/Sex/Result)",HTS_TST_N_MOH_Age_Agg_Sex_Result,BRalYZhcHpi,Number of individuals who received HTS services and received their test results during the MOH reporting period.,"15+, Male, Positive",XQ52MZdCLMe,XQ52MZdCLMe,coarse
MER Results: MOH Facility Based FY22,"HTS_TST (N, MOH, Age Agg/Sex/Result): HTS received results","HTS_TST (N, MOH, Age Agg/Sex/Result)",HTS_TST_N_MOH_Age_Agg_Sex_Result,BRalYZhcHpi,Number of individuals who received HTS services and received their test results during the MOH reporting period.,"<15, Unknown Sex, Negative",PrIxM0pIjFl,PrIxM0pIjFl,coarse
MER Results: MOH Facility Based FY22,"HTS_TST (N, MOH, Age Agg/Sex/Result): HTS received results","HTS_TST (N, MOH, Age Agg/Sex/Result)",HTS_TST_N_MOH_Age_Agg_Sex_Result,BRalYZhcHpi,Number of individuals who received HTS services and received their test results during the MOH reporting period.,"15+, Unknown Sex, Negative",qL3AXhLXfHf,qL3AXhLXfHf,coarse
