dataset,dataelement,shortname,code,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid,classification
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"10-14, Known Positives, Female",nr8KgqTWYe8,nr8KgqTWYe8,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"10-14, Known Positives, Male",X9oQCOXFLpS,X9oQCOXFLpS,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"10-14, Newly Tested Positives, Female",T7F0DwyrbBV,T7F0DwyrbBV,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"10-14, Newly Tested Positives, Male",vUUk6jQrXdb,vUUk6jQrXdb,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"10-14, New Negatives, Female",tNnfZGycqoK,tNnfZGycqoK,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"10-14, New Negatives, Male",FsaFnYgYYiE,FsaFnYgYYiE,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"1-4, Known Positives, Female",iqG5y4IclYv,iqG5y4IclYv,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"1-4, Known Positives, Male",vHcPl7i3ldt,vHcPl7i3ldt,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"1-4, Newly Tested Positives, Female",IsuCX2xSvKQ,IsuCX2xSvKQ,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"1-4, Newly Tested Positives, Male",o3zyOwZyxi7,o3zyOwZyxi7,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"1-4, New Negatives, Female",zRdpU5xlOQI,zRdpU5xlOQI,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"1-4, New Negatives, Male",fu8H9OdUyZ6,fu8H9OdUyZ6,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"15-19, Known Positives, Female",jVLZPId7wiX,jVLZPId7wiX,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"15-19, Known Positives, Male",R0YTc9AapF2,R0YTc9AapF2,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"15-19, Newly Tested Positives, Female",wem5QqoRkkh,wem5QqoRkkh,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"15-19, Newly Tested Positives, Male",VemdciGizc8,VemdciGizc8,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"15-19, New Negatives, Female",HTuFkqNl46u,HTuFkqNl46u,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"15-19, New Negatives, Male",EsEgz70ex5M,EsEgz70ex5M,fine
MER Results: CS Facility Based FY21,"HTS_INDEX (N, CS, Index/Age/Sex/Result): HTS Result","HTS_INDEX (N, CS, Index/Age/Sex/Result)",HTS_INDEX_N_CS_Index_Age_Sex_Result,zSE7AtpipXu,Number of individuals who were identified and tested using index testing services and received their results,"<1, Known Positives, Female",SJ6ny6KglYz,SJ6ny6KglYz,fine
