dataelement,shortname,code,dataelementuid,dataelementdesc
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, DSD): GBV Care","GEND_GBV (N, DSD)",GEND_GBV_N_DSD,pWTXzF2L8lG,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, DSD, PEP): GBV Care","GEND_GBV (N, DSD, PEP)",GEND_GBV_N_DSD_PEP,iTrUBtHPoVg,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, TA): GBV Care","GEND_GBV (N, TA)",GEND_GBV_N_TA,sIagQEZjSyy,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, TA, PEP): GBV Care","GEND_GBV (N, TA, PEP)",GEND_GBV_N_TA_PEP,mCer3amuijr,"Number of people receiving post-GBV clinical care based on the minimum package"
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers"
"HTS_TST (N, DSD, HomeMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, HomeMod/Age>10/Sex/Result)",HTC_TST_N_DSD_HomeMod_Agegt10_Sex_Result,d69rFCjz0TE,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, HomeMod/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, HomeMod/Age<10/Result)",HTC_TST_N_DSD_HomeMod_Agelt10_Result,aooqyfRcgnl,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, HomeMod/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, HomeMod/Agg Age/Sex/Result)",HTC_TST_N_DSD_HomeMod_Agg_Age_Sex_Result,OSjqOnhoPBt,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD): HTS received results","HTS_TST (N, DSD)",HTC_TST_N_DSD,K6f6jR0NOcZ,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, IndexMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, IndexMod/Age>10/Sex/Result)",HTC_TST_N_DSD_IndexMod_Agegt10_Sex_Result,MMODRH694Pm,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, IndexMod/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, IndexMod/Age<10/Result)",HTC_TST_N_DSD_IndexMod_Agelt10_Result,BrmHfc783IA,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
