dataelement,shortname,code,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","10-14, Female, Physical and/or Emotional Violence",vESK0xjDe0E,vESK0xjDe0E
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","10-14, Female, Sexual Violence (Post-Rape Care)",uPN2d5mMfjI,uPN2d5mMfjI
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","10-14, Male, Physical and/or Emotional Violence",MHLgKWuwvRs,MHLgKWuwvRs
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","10-14, Male, Sexual Violence (Post-Rape Care)",sZAKG8tMqiE,sZAKG8tMqiE
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","<10, Female, Physical and/or Emotional Violence",RdDGvupJ4Ai,RdDGvupJ4Ai
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","<10, Female, Sexual Violence (Post-Rape Care)",Tfv27ett4Uw,Tfv27ett4Uw
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","<10, Male, Physical and/or Emotional Violence",oPjsZYe80iY,oPjsZYe80iY
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","<10, Male, Sexual Violence (Post-Rape Care)",CbAtcYO2zzy,CbAtcYO2zzy
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","15-19, Female, Physical and/or Emotional Violence",oW6Lx7wX25h,oW6Lx7wX25h
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","15-19, Female, Sexual Violence (Post-Rape Care)",NBWhwidiXcG,NBWhwidiXcG
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","15-19, Male, Physical and/or Emotional Violence",UsudmHdPSRb,UsudmHdPSRb
