dataset,dataelement,shortname,code,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid,classification
MER Results: MOH Facility Based FY18,"TX_NEW (N, MOH, Age Agg/Sex/HIVStatus): New on ART","TX_NEW (N, MOH, Age Agg/Sex/HIVStatus)",TX_NEW_N_MOH_Age_Agg_Sex_HIVStatus,Mon8vQgC9qg,Number of adults and children newly enrolled on ART,"Unknown Age, Unknown Sex, Positive",Gfje2jHn5TY,Gfje2jHn5TY,coarse
MER Results: MOH Facility Based FY18,"TX_NEW (N, MOH, Age Agg/Sex/HIVStatus): New on ART","TX_NEW (N, MOH, Age Agg/Sex/HIVStatus)",TX_NEW_N_MOH_Age_Agg_Sex_HIVStatus,Mon8vQgC9qg,Number of adults and children newly enrolled on ART,"15+, Male, Positive",XX7hDj6iz0D,XX7hDj6iz0D,coarse
MER Results: MOH Facility Based FY18,"TX_NEW (N, MOH, Age Agg/Sex/HIVStatus): New on ART","TX_NEW (N, MOH, Age Agg/Sex/HIVStatus)",TX_NEW_N_MOH_Age_Agg_Sex_HIVStatus,Mon8vQgC9qg,Number of adults and children newly enrolled on ART,"<15, Unknown Sex, Positive",uURluLqPIJ5,uURluLqPIJ5,coarse
MER Results: MOH Facility Based FY18,"TX_NEW (N, MOH, Age Agg/Sex/HIVStatus): New on ART","TX_NEW (N, MOH, Age Agg/Sex/HIVStatus)",TX_NEW_N_MOH_Age_Agg_Sex_HIVStatus,Mon8vQgC9qg,Number of adults and children newly enrolled on ART,"15+, Unknown Sex, Positive",qli3maq9Ot7,qli3maq9Ot7,coarse
MER Results: MOH Facility Based FY18,"TX_NEW (N, MOH, Age Agg/Sex/HIVStatus): New on ART","TX_NEW (N, MOH, Age Agg/Sex/HIVStatus)",TX_NEW_N_MOH_Age_Agg_Sex_HIVStatus,Mon8vQgC9qg,Number of adults and children newly enrolled on ART,"Unknown Age, Female, Positive",P9UIhogYbAa,P9UIhogYbAa,coarse
MER Results: MOH Facility Based FY18,"TX_NEW (N, MOH, Age Agg/Sex/HIVStatus): New on ART","TX_NEW (N, MOH, Age Agg/Sex/HIVStatus)",TX_NEW_N_MOH_Age_Agg_Sex_HIVStatus,Mon8vQgC9qg,Number of adults and children newly enrolled on ART,"<15, Female, Positive",chrwpNxHlQQ,chrwpNxHlQQ,coarse
MER Results: MOH Facility Based FY18,"TX_NEW (N, MOH, Age Agg/Sex/HIVStatus): New on ART","TX_NEW (N, MOH, Age Agg/Sex/HIVStatus)",TX_NEW_N_MOH_Age_Agg_Sex_HIVStatus,Mon8vQgC9qg,Number of adults and children newly enrolled on ART,"Unknown Age, Male, Positive",UN9ZOZLLVqN,UN9ZOZLLVqN,coarse
MER Results: MOH Facility Based FY18,"TX_NEW (N, MOH, Age Agg/Sex/HIVStatus): New on ART","TX_NEW (N, MOH, Age Agg/Sex/HIVStatus)",TX_NEW_N_MOH_Age_Agg_Sex_HIVStatus,Mon8vQgC9qg,Number of adults and children newly enrolled on ART,"15+, Female, Positive",Yf1BiWq71NE,Yf1BiWq71NE,coarse
MER Results: MOH Facility Based FY18,"TX_NEW (N, MOH, Age Agg/Sex/HIVStatus): New on ART","TX_NEW (N, MOH, Age Agg/Sex/HIVStatus)",TX_NEW_N_MOH_Age_Agg_Sex_HIVStatus,Mon8vQgC9qg,Number of adults and children newly enrolled on ART,"<15, Male, Positive",zHSL7ATXJib,zHSL7ATXJib,coarse
MER Results: MOH Facility Based FY18,"PMTCT_STAT (N, MOH, Sex/KnownNewPosNewNeg): Known Results","PMTCT_STAT (N, MOH, Sex/KnownNewPosNewNeg)",PMTCT_STAT_N_MOH_Sex_KnownNewPosNewNeg,IXkZ7eWtFHs,Number of pregnant women who were tested for HIV and know their results plus number of pregnant women with known HIV status at entry to services.,"Female, Known at Entry Positive",o0gcwyuh7mU,o0gcwyuh7mU,coarse
