FY19 Results,
Community Based Code List, zUoy5hk8r0q
Community Based - DoD ONLY Code List, PyD4x9oFwxJ
Facility Based Code List,KWRj80vEfHU
Facility Based - DoD ONLY Code List,fi9yMqWLWVy
Medical Store,IZ71Y2mEBJF
Operating Unit Level (IM),ndp6aR3e1X3
Narratives (IM),pnlFw2gDGHD
Host Country Results: Narratives (USG),gc4KOv8kGlI
Host Country Results: Operating Unit Level (USG),FsYxodZiXyH
Host Country Results: COP Prioritization SNU (USG),iJ4d5HdGiqG
Host Country Results: Facility (USG),GiqB9vjbdwb
COP19 (FY20): Targets,
Community Based Code List,nIHNMxuPUOR
Community Based - DoD ONLY Code List,C2G7IyPPrvD
Facility Based Code List,sBv1dj90IX6
Facility Based - DoD ONLY Code List,HiJieecLXxN
Narratives (IM) Code List,dNGGlQyiq9b
Host Country Targets: Narratives (USG) Code List,tTK9BhvS5t3
Host Country Operating Unit Level (USG) Code,PH3bllbLw8W
Host Country COP Prioritization SNU (USG),N4X89PgW01w
SIMS 3.0,
Facility Based Code List,uMvWjOo31wt
Community Based Code List,PB2eHiURtwS
Above Site Based Code List,wL1TY929jCS
SIMS v3 Option Sets,Iu9tRii3pXG
Tiered Site Support,
Tiered Site Support Data Elements,l8pThk1VnTC
Tiered Site Support Option Set List,ELFCPUHushX
